age,sex,sex_2_TEXT,gender,gender_4_TEXT,relation_1,relation_2,relation_3,relation_4,relation_5,relation_6,relation_7,relation_7_TEXT,kids,soibh_1,soibh_2,soibh_3,soiatt_1,soiatt_2,soiatt_3,soides_1,soides_2,soides_3,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,moral_7,moral_8,moral_9,moral_10,moral_11,moral_12,moral_1,moral_2,moral_3,moral_4,moral_5,moral_6,sexorien,sexorien_3_TEXT,ethnic,ethnic_0_TEXT,ethnic_1_TEXT,ethnic_2_TEXT,ethnic_3_TEXT,ethnic_6_TEXT,relafil,relafil_9_TEXT,rel_1,polit_1,withdraw,ID,counter,soiatt_3R,soibh,soibh2,soiatt,soides,soitot,sdo_8R,sdo_9R,sdo_10R,sdo_11R,sdo_12R,sdo_13R,sdo_14R,sdo,moral_2R,moral_4R,moral_8R,moral_10R,moral_wo,moral_men
28,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,NA,6,1,7,1,1,1,1,1,1,1,1,2,3,3,4,6,5,6,6,5,4,6,2,2,4,4,3,5,3,4,4,4,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,4,0,5e2b858a17494e1dc35c7403,Male promiscuity first,3,1.5,1,3.333333333,1,1.944444444,5,4,2,3,2,2,3,2.214285714,3,4,2,6,3.5,3.666666667
21,Male,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,2,1,9,9,1,9,6,9,2,3,3,5,2,2,6,7,7,7,7,7,5,4,1,7,1,7,1,2,1,7,1,7,1,2,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,4,0,5e398af63b96591a2b8868df,Female promiscuity first,9,1.666666667,1.5,9,8,6.222222222,1,1,1,1,1,3,4,2.5,1,1,1,1,1.166666667,1.166666667
20,Male,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,9,8,2,9,5,4,2,2,5,2,6,2,7,2,2,5,4,6,3,5,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,4,0,5d232c2b997f63001b547df5,Male promiscuity first,8,1.333333333,1.5,8.333333333,6,5.222222222,6,6,3,4,2,5,3,3.928571429,1,1,1,1,1,1
18,Male,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,3,2,9,9,1,2,1,2,7,7,5,4,5,5,5,6,5,6,5,6,6,5,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,2,NA,NA,NA,NA,NA,5,NA,1,3,0,5b8dab9eb91f4c0001994637,Female promiscuity first,9,2.333333333,2.5,9,1.666666667,4.333333333,2,3,2,3,2,2,3,3.928571429,1,1,1,1,1,1
21,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,3,1,1,7,1,9,1,1,1,5,6,4,6,4,6,7,5,4,4,4,3,4,5,4,5,3,4,4,5,5,4,4,4,4,5,0,NA,0,slavic,NA,NA,NA,NA,1,NA,5,4,0,5f3a5df273930b056615430e,Female promiscuity first,1,1.666666667,1,3,1,1.888888889,3,4,4,4,5,4,3,4.642857143,4,4,3,4,4.333333333,3.833333333
20,Female,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,1,9,4,7,2,2,1,1,1,2,3,1,1,5,7,7,7,7,7,7,7,2,6,2,6,2,3,2,6,2,6,2,3,0,NA,0,NA,NA,NA,NA,NA,9,Spiritualism,5,1,0,5a033ac3f2e3460001edabac,Male promiscuity first,3,1,1,5.333333333,1.666666667,2.666666667,1,1,1,1,1,1,1,1.5,2,2,2,2,2.166666667,2.166666667
30,Male,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,2,2,2,3,1,3,2,6,2,2,3,5,3,2,2,6,5,3,5,6,6,5,6,6,5,3,5,5,5,6,5,5,2,6,6,0,NA,0,NA,NA,NA,NA,NA,1,NA,2,4,0,5f1af086e0ba3225821329c7,Female promiscuity first,7,2,2,3.666666667,3.333333333,3,3,5,3,2,2,3,2,3.071428571,3,6,3,3,5.333333333,4.166666667
21,Female,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,6,2,4,9,8,1,7,6,7,1,2,1,1,1,1,2,5,6,7,7,7,7,7,1,7,1,7,2,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,4,0,5ca5dfd08bc0bf00016dfe26,Male promiscuity first,9,4,3,8.666666667,6.666666667,6.444444444,3,2,1,1,1,1,1,1.357142857,1,1,1,1,1,1.166666667
23,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,1,6,7,9,1,1,1,2,1,1,1,2,1,3,7,7,7,7,7,7,7,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,0,5d34d46f0627450015214b75,Female promiscuity first,1,1.333333333,1,4.666666667,1,2.333333333,1,1,1,1,1,1,1,1.285714286,1,1,1,1,1,1
26,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,2,1,9,9,1,8,3,5,2,4,1,6,1,1,3,7,7,7,7,7,7,7,2,7,1,6,2,3,1,7,1,7,1,1,0,NA,2,NA,NA,NA,NA,NA,0,NA,1,2,0,5eb02afee679c606c59c44b0,Male promiscuity first,9,1.666666667,1.5,9,5.333333333,5.333333333,1,1,1,1,1,1,1,1.785714286,1,1,1,2,1,1.833333333
